bins,counts
0,114
2.791338583,60
5.582677165,85
8.374015748,96
11.16535433,131
13.95669291,152
16.7480315,180
19.53937008,232
22.33070866,324
25.12204724,411
27.91338583,390
30.70472441,494
33.49606299,551
36.28740157,610
39.07874016,589
41.87007874,691
44.66141732,768
47.45275591,819
50.24409449,871
53.03543307,855
55.82677165,937
58.61811024,941
61.40944882,949
64.2007874,916
66.99212598,971
69.78346457,1032
72.57480315,1051
75.36614173,1034
78.15748031,1113
80.9488189,1150
83.74015748,1223
86.53149606,1339
89.32283465,1524
92.11417323,1636
94.90551181,1908
97.69685039,2182
100.488189,2443
103.2795276,2722
106.0708661,2957
108.8622047,3058
111.6535433,3215
114.4448819,3368
117.2362205,3409
120.0275591,3290
122.8188976,3467
125.6102362,3396
128.4015748,3403
131.1929134,3421
133.984252,3429
136.7755906,3327
139.5669291,3389
142.3582677,3484
145.1496063,3428
147.9409449,3528
150.7322835,3540
153.523622,3736
156.3149606,3848
159.1062992,4255
161.8976378,4431
164.6889764,4675
167.480315,5329
170.2716535,5962
173.0629921,6504
175.8543307,7376
178.6456693,8464
181.4370079,8963
184.2283465,9928
187.019685,10300
189.8110236,11015
192.6023622,11064
195.3937008,11374
198.1850394,9967
200.976378,9173
203.7677165,8458
206.5590551,7317
209.3503937,6021
212.1417323,5259
214.9330709,4180
217.7244094,3498
220.515748,3194
223.3070866,3055
226.0984252,3078
228.8897638,3039
231.6811024,3475
234.4724409,3296
237.2637795,3341
240.0551181,3275
242.8464567,3055
245.6377953,2650
248.4291339,2369
251.2204724,1721
254.011811,1296
256.8031496,977
259.5944882,549
262.3858268,411
265.1771654,256
267.9685039,174
270.7598425,138
273.5511811,93
276.3425197,88
279.1338583,65
281.9251969,59
284.7165354,45
287.507874,38
290.2992126,41
293.0905512,22
295.8818898,21
298.6732283,15
301.4645669,11
304.2559055,9
307.0472441,9
309.8385827,10
312.6299213,6
315.4212598,2
318.2125984,4
321.003937,5
323.7952756,3
326.5866142,1
329.3779528,0
332.1692913,1
334.9606299,0
337.7519685,1
340.5433071,0
343.3346457,1
346.1259843,1
348.9173228,0
351.7086614,0
354.5,1
